State FIPS Code,County FIPS Code,Unemployment Rate,County,State
1,1,5.3,Autauga County, AL
1,3,5.4,Baldwin County, AL
1,5,8.6,Barbour County, AL
1,7,6.6,Bibb County, AL
1,9,5.5,Blount County, AL
1,11,7.2,Bullock County, AL
1,13,7.1,Butler County, AL
1,15,6.7,Calhoun County, AL
1,17,5.5,Chambers County, AL
1,19,5.2,Cherokee County, AL
1,21,5.6,Chilton County, AL
1,23,8.9,Choctaw County, AL
1,25,11.1,Clarke County, AL
1,27,6.2,Clay County, AL
1,29,6.1,Cleburne County, AL
1,31,6.1,Coffee County, AL
1,33,7,Colbert County, AL
1,35,8.6,Conecuh County, AL
1,37,6.1,Coosa County, AL
1,39,7,Covington County, AL
1,41,6,Crenshaw County, AL
1,43,5.1,Cullman County, AL
1,45,5.9,Dale County, AL
1,47,9.4,Dallas County, AL
1,49,6.2,DeKalb County, AL
1,51,4.9,Elmore County, AL
1,53,6.7,Escambia County, AL
1,55,6,Etowah County, AL
1,57,7,Fayette County, AL
1,59,6.1,Franklin County, AL
1,61,5.9,Geneva County, AL
1,63,10.1,Greene County, AL
1,65,7.8,Hale County, AL
1,67,6.6,Henry County, AL
1,69,5.9,Houston County, AL
1,71,6.4,Jackson County, AL
1,73,5.9,Jefferson County, AL
1,75,5.7,Lamar County, AL
1,77,6.4,Lauderdale County, AL
1,79,7,Lawrence County, AL
1,81,5.3,Lee County, AL
1,83,5.3,Limestone County, AL
1,85,10.8,Lowndes County, AL
1,87,7.7,Macon County, AL
1,89,5.2,Madison County, AL
1,91,7.4,Marengo County, AL
1,93,6.7,Marion County, AL
1,95,5.5,Marshall County, AL
1,97,6.9,Mobile County, AL
1,99,9.4,Monroe County, AL
1,101,5.9,Montgomery County, AL
1,103,5.6,Morgan County, AL
1,105,10.6,Perry County, AL
1,107,6.9,Pickens County, AL
1,109,6.4,Pike County, AL
1,111,5.7,Randolph County, AL
1,113,5.6,Russell County, AL
1,115,5.3,St. Clair County, AL
1,117,4.4,Shelby County, AL
1,119,7.8,Sumter County, AL
1,121,6.8,Talladega County, AL
1,123,5.6,Tallapoosa County, AL
1,125,5.8,Tuscaloosa County, AL
1,127,7.6,Walker County, AL
1,129,8.7,Washington County, AL
1,131,14.7,Wilcox County, AL
1,133,7.3,Winston County, AL
2,13,2.7,Aleutians East Borough, AK
2,16,3.3,Aleutians West Census Area, AK
2,20,5.3,Anchorage Borough/municipality, AK
2,50,14.1,Bethel Census Area, AK
2,60,6.9,Bristol Bay Borough, AK
2,68,8.6,Denali Borough, AK
2,70,9.7,Dillingham Census Area, AK
2,90,5.7,Fairbanks North Star Borough, AK
2,100,9.8,Haines Borough, AK
2,105,11.5,Hoonah-Angoon Census Area, AK
2,110,4.4,Juneau Borough/city, AK
2,122,8.2,Kenai Peninsula Borough, AK
2,130,6.2,Ketchikan Gateway Borough, AK
2,150,5,Kodiak Island Borough, AK
2,158,21.3,Kusilvak Census Area, AK
2,164,12.3,Lake and Peninsula Borough, AK
2,170,8.1,Matanuska-Susitna Borough, AK
2,180,12.5,Nome Census Area, AK
2,185,6.5,North Slope Borough, AK
2,188,15.7,Northwest Arctic Borough, AK
2,195,8.6,Petersburg Borough, AK
2,198,11.7,Prince of Wales-Hyder Census Area, AK
2,220,4.3,Sitka Borough/city, AK
2,230,10.6,Skagway Municipality, AK
2,240,10.2,Southeast Fairbanks Census Area, AK
2,261,8.2,Valdez-Cordova Census Area, AK
2,275,7.3,Wrangell Borough/city, AK
